# NeuroAD evidence ledger — REAL ADNI (ComBat-harmonized AD-vs-CN survivor). Every value is refereed engine output over a real cohort with real plasma p-tau217/GFAP; the synthetic column is false on every row.
test,result,metric,value,ci_lo,n,dataset,seed,source,synthetic,detail
age_sex,passed,"effect retained (age/sex)",0.958,,1615,adni:combat,0,engine,false,"effect retained 96% after age/sex adjustment (AUC 0.92 -> 0.90)"
site_scanner,passed,"leakage margin (outcome-scanner AUC)",0.549,0.5217,,adni:combat,0,engine,false,"outcome exceeds scanner and the margin CI excludes zero (margin +0.55 [95% CI +0.52, +0.57])"
brain_age,passed,"effect retained (brain-age)",0.942,,1153,adni:combat,0,engine,false,"brain-age R2=0.48, MAE=4.0yr; effect retained 94% after brain-age-GAP control (Franke/Gaser standard), 68% under the stricter predicted-brain-age control"
biomarker_anchor,passed,"p-tau217 correlation r (Fisher-z CI)",0.492,0.44,876,adni:combat,0,engine,false,"p-tau217 correlation r=+0.49 (95% CI lower +0.44, n=876)"
replication,passed,"held-out cohort AUC",0.9205,,41,adni:combat,0,engine,false,"held-out cohort AUC=0.92 [95% CI 0.78, 1.00] (train 0.93); n_test=41 over 11 aggregated held-out site(s)"
