# STRING v12.0 protein-protein interaction subgraph over the NeuroAD gene universe
# (74 PI4AD snapshot genes UNION 50 Open Targets AD targets UNION MECHANISM_GENES = 115 symbols).
# Source: STRING v12.0 https://string-db.org/api/tsv/network (Homo sapiens, taxon 9606),
# fetched 2026-07-11, no credentials. Licensed CC BY 4.0 (bundling a subset is license-clean).
# combined_score is STRING's integrated confidence on the 0-1000 scale (network default cutoff 400).
# This is the offline-first, deterministic PPI network for in-repo RWR/heat-diffusion propagation.
gene_a,gene_b,combined_score,string_version
ADAM10,TREM2,527,v12.0
ADAM10,UBB,421,v12.0
ADRA2B,SLC6A2,606,v12.0
ADRA2B,SLC6A3,558,v12.0
ADRA2B,SRC,518,v12.0
AKT1,APOE,697,v12.0
AKT1,APP,665,v12.0
AKT1,AXL,576,v12.0
AKT1,B2M,446,v12.0
AKT1,BACE1,524,v12.0
AKT1,BCL2,993,v12.0
AKT1,CALM1,738,v12.0
AKT1,CALR,661,v12.0
AKT1,CBL,775,v12.0
AKT1,CD33,400,v12.0
AKT1,CD4,839,v12.0
AKT1,CDC25B,418,v12.0
AKT1,CDC42,999,v12.0
AKT1,CDK4,691,v12.0
AKT1,CDKN1A,995,v12.0
AKT1,CDKN2B,580,v12.0
AKT1,CLU,419,v12.0
AKT1,CRK,806,v12.0
AKT1,CRKL,535,v12.0
AKT1,CSF1R,604,v12.0
AKT1,CTNNB1,979,v12.0
AKT1,EGF,933,v12.0
AKT1,EGFR,792,v12.0
AKT1,EPHA1,492,v12.0
AKT1,ERBB2,552,v12.0
AKT1,ESR1,913,v12.0
AKT1,FN1,846,v12.0
AKT1,FOXO3,998,v12.0
AKT1,FYN,834,v12.0
AKT1,GAPDH,911,v12.0
AKT1,GRB2,907,v12.0
AKT1,GRIN2A,659,v12.0
AKT1,GRIN2B,510,v12.0
AKT1,GSK3B,996,v12.0
AKT1,HDAC1,758,v12.0
AKT1,HMGCR,643,v12.0
AKT1,HRAS,896,v12.0
AKT1,HSP90AA1,999,v12.0
AKT1,HSP90AB1,999,v12.0
AKT1,INS,953,v12.0
AKT1,ITGAM,611,v12.0
AKT1,ITGB1,728,v12.0
AKT1,ITGB3,781,v12.0
AKT1,JUN,991,v12.0
AKT1,KIT,818,v12.0
AKT1,KRAS,904,v12.0
AKT1,LOC102723407,471,v12.0
AKT1,LYN,820,v12.0
AKT1,MAPK1,988,v12.0
AKT1,MAPK3,957,v12.0
AKT1,MAPT,872,v12.0
AKT1,MYC,928,v12.0
AKT1,NCK1,703,v12.0
AKT1,NCK2,428,v12.0
AKT1,NFKB1,896,v12.0
AKT1,NRAS,815,v12.0
AKT1,PDGFRB,450,v12.0
AKT1,PECAM1,719,v12.0
AKT1,PIK3CA,998,v12.0
AKT1,PIK3CB,992,v12.0
AKT1,PIK3R1,995,v12.0
AKT1,PIK3R2,971,v12.0
AKT1,PLCG1,788,v12.0
AKT1,PLCG2,771,v12.0
AKT1,PSEN1,521,v12.0
AKT1,PTEN,988,v12.0
AKT1,PTK2,879,v12.0
AKT1,PTPN11,762,v12.0
AKT1,PTPRC,676,v12.0
AKT1,RHOA,904,v12.0
AKT1,SHC1,771,v12.0
AKT1,SLC6A3,407,v12.0
AKT1,SMPD1,434,v12.0
AKT1,SRC,995,v12.0
AKT1,STAT3,966,v12.0
AKT1,SYK,628,v12.0
AKT1,TLR2,704,v12.0
AKT1,TLR4,769,v12.0
AKT1,TP53,994,v12.0
APH1B,APP,866,v12.0
APH1B,BACE1,593,v12.0
APH1B,PSEN1,999,v12.0
APH1B,PSEN2,999,v12.0
APOE,APP,999,v12.0
APOE,AXL,456,v12.0
APOE,B2M,803,v12.0
